vol_id,date_id,compagnie_id,aeroport_dep_id,aeroport_arr_id,meteo_id,cause_id,retard_depart_min,retard_arrivee_min,duree_vol_min,distance_miles,annule,detourne,nb_passagers
93,20240108,5,11,5,1,1,0,7,516,5685.0,0,0,92
94,20240306,,10,12,3,1,0,6,683,4358.3,0,0,159
95,20231010,5,9,10,4,1,74,83,565,3271.1,0,0,152
96,20241215,5,10,9,10,1,0,2,294,6961.4,0,0,468
97,20230914,5,8,6,2,3,0,0,459,2597.6,0,0,549
98,20240423,7,5,2,1,5,0,4,116,6340.9,0,0,118
99,20240709,1,2,8,2,1,0,4,692,3114.9,0,0,303
100,20230313,7,3,6,2,1,0,2,275,5167.5,0,0,106
101,20221221,5,12,8,2,1,0,3,160,8860.1,0,0,440
102,20240503,6,9,1,2,1,0,10,277,2309.0,0,0,419
103,20240510,9,9,5,4,1,45,47,567,4348.9,0,0,167
104,20220206,3,7,8,2,5,0,0,149,2772.8,0,0,161
105,20220824,10,3,10,6,5,0,0,540,2342.5,0,0,452
106,20241012,,10,4,1,1,12,12,576,1062.9,0,0,485
107,20221031,5,9,4,4,1,56,63,531,8638.2,0,0,318
108,20240227,9,12,11,1,1,7,15,215,6163.9,0,0,106
109,20221209,4,2,3,2,1,0,0,552,5109.0,0,0,442
110,20230819,6,5,10,9,2,0,8,618,5595.8,0,0,549
111,20230219,9,12,6,1,1,0,9,486,7141.1,0,0,75
112,20231101,1,2,7,1,1,0,3,181,6261.8,0,0,461
113,20230604,2,6,5,10,1,83,91,695,792.9,0,0,417
114,20220329,9,6,6,10,1,0,5,151,1556.1,0,0,177
115,20230617,6,5,11,1,1,0,0,630,6326.9,0,0,181
116,20230113,4,11,1,4,1,0,4,331,7280.9,0,0,500
117,20241108,5,6,10,2,1,0,4,398,5271.4,0,0,80
118,20241014,3,9,7,1,1,0,1,126,2294.8,0,0,463
119,20230321,10,12,9,1,1,0,3,78,948.5,0,0,425
120,20221002,6,4,5,3,1,0,5,641,966.0,0,0,338
121,20240723,3,11,5,8,1,0,0,244,3113.0,0,0,116
122,20240212,4,1,7,10,1,0,7,576,2566.6,0,0,85
123,20240830,3,3,6,7,1,0,3,385,8941.2,0,0,190
124,20240429,10,7,11,1,1,0,0,214,4399.1,0,0,517
125,20240801,3,7,8,3,2,0,0,709,8012.1,0,0,340
126,20220926,10,8,12,1,1,0,0,546,6973.6,0,0,65
127,20230827,10,2,11,6,5,124,128,108,5008.9,0,0,456
128,20220615,5,4,8,2,1,0,0,466,415.8,0,0,87
129,20241126,2,1,7,1,2,0,10,453,5686.1,0,0,381
130,20240112,4,12,5,2,1,0,8,281,7468.3,0,0,503
131,20220703,5,4,9,6,1,0,5,266,6058.6,0,0,98
132,20240518,1,7,12,2,1,0,0,192,2199.8,0,0,304
133,20220530,6,5,11,1,5,0,0,403,3370.2,0,0,411
134,20240305,10,7,3,3,1,0,0,256,1622.5,0,0,181
135,20221218,5,8,6,7,1,150,160,591,1615.6,0,0,549
136,20230829,3,2,12,7,1,0,0,513,735.5,0,0,465
137,20220125,6,8,9,9,4,180,177,687,2865.2,0,0,225
138,20220812,7,6,12,4,1,53,59,259,3174.5,0,0,438
139,20240210,4,7,10,4,6,6,5,278,8637.0,0,0,263
140,20230426,1,11,2,6,1,46,47,663,2926.2,0,0,479
141,20230101,3,6,2,6,6,65,71,73,988.7,0,0,92
142,20220531,,8,12,2,1,0,0,550,2770.2,0,0,546
143,20220718,2,6,4,2,1,0,0,712,2290.5,0,0,210
144,20220906,2,6,4,2,1,0,6,365,896.3,0,0,228
145,20241122,8,3,12,1,1,0,4,247,3208.3,0,0,77
146,20230328,4,4,10,3,1,0,1,577,4191.6,0,0,382
147,20240724,9,5,2,1,1,0,10,302,3589.5,0,0,453
148,20230404,2,9,7,4,5,0,1,441,6320.1,0,0,404
149,20231211,2,2,11,4,1,0,1,511,3378.5,0,0,331
150,20221229,5,12,5,1,2,0,0,490,5415.7,0,0,344
151,20241020,7,2,6,2,1,0,2,220,4750.5,0,0,294
152,20241215,3,5,2,2,1,0,7,277,385.8,1,1,163
153,20221230,2,12,9,1,1,0,0,585,6365.9,0,0,277
154,20240323,5,1,2,3,5,46,44,666,6328.0,0,0,364
155,20221113,9,5,1,3,1,0,10,348,2910.8,0,0,234
156,20241013,10,3,8,1,1,0,6,181,4390.7,0,0,81
157,20241205,3,11,6,3,1,0,8,512,2525.5,0,0,241
158,20230401,1,10,11,1,3,5,2,147,3280.4,0,0,533
159,20240228,9,5,4,3,1,0,0,412,2985.1,0,0,321
160,20231029,1,11,12,1,8,0,5,223,4709.2,0,0,154
161,20230529,1,8,5,2,1,10,14,426,8742.5,0,0,81
162,20221201,1,11,7,3,1,0,0,420,1704.4,0,0,175
163,20240201,8,6,11,8,1,0,6,535,1385.4,0,0,277
164,20240501,2,6,3,1,5,0,1,371,6443.1,0,0,137
165,20240807,1,4,1,8,1,0,6,262,2559.9,0,0,261
166,20220109,5,6,2,1,1,0,0,457,1777.3,0,0,0
167,20231114,10,12,3,6,1,139,145,432,2693.7,0,0,245
168,20240127,2,9,10,2,1,0,6,98,1420.5,0,0,282
169,20220318,10,6,3,1,1,0,4,354,1989.2,0,0,61
170,20220221,,2,11,9,1,85,88,265,4760.6,0,0,367
171,20220210,3,4,1,2,1,0,5,422,1424.0,0,0,333
172,20220416,3,12,1,3,7,0,0,681,3860.7,0,0,83
173,20230403,9,5,8,4,1,0,1,229,8664.5,0,0,195
174,20240710,7,3,11,1,4,0,10,85,6627.7,0,0,180
175,20241027,9,5,9,2,1,0,0,338,2513.4,0,0,516
176,20220412,8,4,12,1,1,0,0,151,781.0,0,0,408
177,20221128,4,8,10,6,1,115,120,0,8446.1,1,0,85
178,20240921,-1,1,10,4,1,0,4,658,3957.1,0,0,434
179,20240114,,10,1,6,3,8866,0,395,741.1,0,0,442
180,20241013,9,,8,3,1,0,5,207,6353.1,0,0,237
181,20230528,7,9,11,1,1,0,0,593,4631.9,0,0,172
182,20231025,10,8,2,10,1,0,6,395,6350.9,0,0,173
183,20230107,10,12,9,1,1,0,6,88,7932.6,0,0,440
184,20220828,7,1,4,1,1,7,15,224,4939.3,0,0,315
185,20240826,4,7,1,8,3,0,8,208,4889.3,0,0,81
186,20230213,5,10,1,1,1,0,7,547,3968.1,0,0,330
187,20230422,2,11,4,2,1,0,1,363,5354.0,0,0,395
188,20240819,5,8,7,3,1,0,1,416,7720.6,0,0,158
189,20240126,8,3,6,5,1,151,153,227,5805.8,0,0,312
190,20230428,8,4,8,2,1,0,7,714,4232.6,0,0,139
191,20230127,4,11,3,4,6,34,32,606,3756.7,0,0,207
192,20240616,4,2,1,1,1,0,10,506,2053.6,0,0,128
193,20221219,8,6,5,1,1,0,3,562,587.4,0,0,108
194,,6,3,12,9,1,122,131,485,3770.0,0,0,417
195,20220317,10,11,12,2,1,0,9,289,8260.8,0,0,387
196,20231230,1,8,11,3,8,0,4,101,1744.0,0,0,325
197,20241014,8,3,12,3,6,0,0,540,2051.0,0,0,449
198,20231030,10,5,10,1,1,0,9,419,8135.9,0,0,438
199,20220622,6,1,6,3,1,0,10,563,3349.5,0,0,471
200,20240429,5,3,2,3,2,0,0,322,3537.1,0,0,431
201,20230311,9,4,6,2,1,0,9,328,6215.0,0,0,102
202,20220406,10,12,8,9,1,0,0,666,488.9,0,0,303
203,20220221,3,8,3,2,1,0,3,352,6391.0,0,0,182
204,20240613,7,1,10,3,1,0,6,560,2499.5,0,0,244
205,20221021,5,12,7,3,4,0,0,175,2573.5,0,0,169
206,20220112,8,7,1,1,1,0,0,384,8083.0,0,0,142
207,,3,9,2,1,2,0,0,385,8317.4,0,0,414
208,20240614,10,1,6,1,6,0,3,467,3489.5,0,0,368
209,20240723,9,8,6,9,1,52,56,645,4241.4,0,0,133
210,20230609,4,3,6,7,1,19,25,622,6221.3,1,1,349
211,20221213,9,3,9,4,1,0,0,490,3105.6,0,0,207
212,20220930,5,4,8,3,5,0,3,637,8506.5,0,0,345
213,20230406,999,12,8,1,4,0,1,121,3760.3,0,0,92
214,20240307,3,10,12,3,2,0,9,391,4833.2,0,0,272
215,20220420,8,8,4,6,1,100,109,84,7030.0,0,0,261
216,20220307,4,5,8,6,1,151,153,588,4060.8,0,0,392
217,20221023,9,2,9,2,1,0,6,595,3755.5,0,0,402
218,20221115,3,10,9,1,1,0,0,76,4610.2,0,0,458
219,20240725,2,4,11,3,8,0,0,321,5316.5,0,0,79
220,20240904,9,9,4,2,8,0,2,594,2550.1,0,0,373
221,20240626,7,8,10,2,1,0,1,278,653.4,0,0,283
222,20230128,1,10,5,8,1,0,2,507,8797.3,0,0,449
223,20240924,8,8,4,1,1,0,10,692,4869.3,0,0,294
224,20221112,1,5,3,1,3,8,10,319,6800.3,0,0,460
225,20220308,10,5,10,2,4,0,7,389,5126.0,0,0,163
226,20220602,4,12,9,10,1,130,125,555,2565.9,0,0,10000
227,20230110,9,12,2,3,1,0,0,175,1848.1,0,0,191
228,20240213,10,9,1,10,1,7889,45,346,1102.5,0,0,118
229,20240710,10,10,3,6,1,0,7,527,3043.1,0,0,178
230,20220809,2,7,2,1,1,0,0,117,2856.3,0,0,488
231,20220910,10,6,3,2,1,0,9,140,2964.4,0,0,223
232,20240710,1,11,5,4,1,0,4,169,5552.4,0,0,107
233,20230319,7,6,11,3,1,0,1,640,3556.7,0,0,475
234,20240118,2,11,5,1,6,7,5,431,3249.4,0,0,381
235,20241013,5,4,6,7,1,0,9,460,6350.8,0,0,336
236,20221030,8,9,11,8,1,0,1,607,5031.1,0,0,324
237,20230104,10,8,5,10,7,78,82,202,578.7,0,0,121
238,20221119,3,3,7,3,1,0,1,594,3588.4,0,0,454
239,20241208,4,5,3,10,1,150,156,658,3660.9,0,0,391
240,20241106,9,8,4,3,5,0,5,186,2201.7,0,0,412
241,20230207,5,11,2,2,5,0,3,393,2120.8,0,0,324
242,20240504,7,11,6,2,1,0,1,401,3925.9,0,0,203
243,20231202,4,5,6,2,1,11,10,291,7941.6,0,0,413
244,20221128,2,4,2,9,1,51,46,292,4874.8,0,0,63
245,20220104,4,11,3,2,1,0,2,311,2859.2,0,0,473
246,20241201,7,2,,2,2,0,9,455,682.6,0,0,158
247,,8,10,9,2,1,0,2,132,1649.7,0,0,433
248,20220527,3,3,4,7,1,0,0,711,3552.6,0,0,114
249,20220704,7,2,8,6,1,0,7,63,1787.3,0,0,498
250,20231015,2,12,11,2,6,0,0,64,7533.8,0,0,338
251,20230518,4,8,7,1,1,0,9,311,1465.9,0,0,501
252,20231211,10,2,10,8,1,20,17,466,332.3,0,0,549
253,20220421,2,1,7,1,8,0,3,73,7606.0,0,0,231
254,20230609,4,1,3,3,1,0,10,366,7087.5,0,0,524
255,20240728,6,9,,1,3,0,0,582,3828.2,0,0,279
256,20221221,10,8,2,2,1,0,0,584,4287.5,0,0,207
257,20230604,9,6,11,2,1,19,20,193,1044.6,0,0,275
258,20231113,4,3,7,2,1,0,7,488,1115.1,0,0,518
259,20241103,9,5,10,8,1,0,9,93,328.6,0,0,421
260,20220312,6,6,11,2,7,0,10,604,6933.0,0,0,482
261,20220903,2,5,2,2,1,0,0,466,4733.8,0,0,241
262,20220614,9,6,2,7,7,227,224,394,2451.1,0,0,529
263,20240114,6,11,7,1,1,0,8,681,5846.8,0,0,480
264,20221230,3,8,10,4,1,59,55,400,7994.7,0,0,340
265,20231103,2,1,8,2,1,0,1,227,3257.0,0,0,78
266,20230423,6,12,4,3,4,0,10,514,8683.9,0,0,319
267,20231226,6,10,11,1,1,13,22,649,5547.5,0,0,224
268,20230426,7,12,8,2,1,0,8,541,5063.8,0,0,519
269,20240622,3,4,10,10,1,66,68,417,1629.5,0,0,285
270,20240910,7,5,6,8,1,0,9,695,2686.1,0,1,456
271,20230513,3,3,4,10,1,0,5,125,5611.5,0,0,505
272,20221204,2,10,2,2,5,0,8,600,6760.7,0,0,118
273,20230620,8,6,1,7,1,151,155,180,6895.5,0,0,444
274,20230123,7,11,9,2,1,0,1,337,1715.6,0,0,415
275,20231024,9,2,12,1,2,0,1,469,333.4,0,0,312
276,20220507,99,1,10,2,1,20,29,213,8718.7,0,0,132
277,20240530,7,6,4,3,1,0,0,138,7117.1,0,0,73
278,20220618,,6,3,5,1,0,9,68,8103.6,0,0,181
279,20220127,9,5,12,4,1,0,2,711,7769.3,0,0,471
280,20231101,10,7,11,8,1,0,0,132,1721.8,0,0,178
281,20231020,7,11,12,4,1,20,30,183,8444.7,0,0,326
282,20230808,2,11,5,4,1,0,5,198,2972.2,0,0,359
283,20220120,8,2,9,8,1,0,7,685,2329.3,0,0,60
284,20230512,6,10,7,2,2,0,3,673,3879.5,0,0,410
285,20220415,3,7,5,3,1,0,9,118,2812.5,0,0,347
286,20220423,2,1,11,4,5,0,0,175,4343.5,1,1,213
287,20221013,5,11,3,6,1,45,42,429,6222.8,0,0,496
288,20241211,2,11,1,1,1,0,5,295,6713.6,0,0,406
289,20240823,9,9,12,8,1,0,0,544,6234.6,0,0,400
290,20220317,5,7,2,1,1,5,4,545,7958.9,0,0,461
291,20221220,1,9,3,6,5,0,5,685,2844.6,0,0,498
292,20241213,7,1,6,5,1,0,0,93,992.9,0,0,157
293,20240416,4,4,12,2,1,0,0,624,2490.3,0,0,447
294,20220507,7,5,11,2,1,0,7,87,1526.0,0,0,446
295,20220422,10,1,10,3,1,38,48,304,1027.1,0,0,185
296,20240821,8,1,6,1,1,0,0,331,6530.0,0,0,71
297,20230803,5,6,11,1,1,0,0,301,4034.2,0,0,314
298,20230321,8,3,7,1,1,0,0,674,8232.1,0,0,110
299,20240710,1,4,2,1,1,0,0,425,6049.8,0,0,314
300,20231008,10,11,12,1,1,0,0,455,7665.0,0,0,200
301,20241010,4,3,10,4,8,0,2,463,4972.4,0,0,324
302,20220823,10,,10,2,1,5038,23,181,5726.4,0,0,196
303,20220526,9,3,6,2,3,15,22,359,8832.3,0,0,216
304,20230402,4,5,11,1,4,0,0,232,7751.6,0,0,142
305,20220730,10,8,4,10,1,0,5,676,4650.4,0,0,240
306,20230724,,6,3,1,1,0,5,346,7448.3,0,0,420
307,20230617,4,9,6,1,6,0,9,301,450.6,0,0,135
308,20221118,5,12,4,7,5,62,64,373,7550.4,0,0,519
309,20240910,1,2,6,8,1,0,8,505,6274.2,0,0,200
310,20240529,3,6,8,2,1,0,8,424,7201.3,0,0,190
311,20231015,2,1,5,8,1,0,3,585,7845.6,0,0,410
312,20230908,4,9,1,2,1,0,9,347,6283.0,0,0,81
313,20230802,8,7,,1,1,0,4,229,6928.5,0,0,327
314,20240418,8,9,7,4,1,0,2,485,8275.3,0,0,403
315,20221217,4,5,7,10,1,123,126,194,7282.1,0,0,109
316,20240910,3,10,6,1,1,0,7,232,8386.1,0,0,433
317,20230603,9,4,8,3,1,0,0,322,2373.2,0,0,359
318,20220308,,7,9,1,3,0,0,487,1726.0,0,0,424
319,20240211,1,10,2,8,1,0,1,72,3981.2,0,0,446
320,20220629,10,12,5,2,1,14,18,613,4255.3,0,0,99
321,20221213,7,10,12,4,1,0,0,534,8930.3,0,0,410
322,20241224,8,6,12,8,1,0,0,574,6744.1,0,0,181
323,20240426,3,4,2,4,1,0,0,492,1522.8,0,0,407
324,20230309,5,1,2,9,6,164,173,456,7142.7,0,0,214
325,20231004,6,10,5,2,1,0,4,319,2695.5,0,0,283
326,20240623,3,7,4,1,1,10,17,483,1212.3,1,1,511
327,20231111,7,6,4,4,1,7,6,387,4157.7,0,0,204
328,20221223,10,12,6,2,8,0,1,83,7820.4,0,0,371
329,20220424,4,1,9,1,8,0,8,499,5217.2,0,0,487
330,20230323,6,12,9,1,1,0,0,707,5007.6,0,0,235
331,20220816,6,5,10,2,1,0,10,115,5701.6,0,0,252
332,20230503,2,4,5,3,1,0,8,67,5611.5,0,0,261
333,20230924,5,1,2,1,1,7,2,149,2897.1,0,0,153
334,20221216,8,6,11,1,1,0,0,522,4354.8,0,0,233
335,20230517,9,4,8,1,6,0,0,364,1062.8,0,0,403
336,20230930,6,12,5,3,1,31,40,500,5892.7,0,0,213
337,20220109,6,9,6,1,1,0,10,284,8978.7,0,0,421
338,20240730,9,2,8,6,1,177,176,439,577.8,0,0,303
339,20220228,6,8,5,5,1,75,77,99999,5095.4,0,0,141
340,20231223,5,2,11,1,1,0,9,318,7737.4,0,0,97
341,20240906,2,4,7,3,3,0,0,399,644.5,0,0,389
342,20220318,8,5,3,1,2,0,7,492,2485.9,0,0,102
343,20241222,6,12,5,2,1,7,7,653,8453.6,0,0,415
344,20241129,6,3,12,8,1,0,7,591,4176.9,0,0,423
345,20240726,6,5,3,2,1,0,8,342,1017.0,0,0,246
346,20240805,5,2,11,1,1,0,10,679,2634.0,0,0,284
347,20240227,1,8,11,1,1,0,0,276,2333.5,0,0,412
348,20240813,10,11,2,1,1,0,10,700,6423.4,0,0,422
349,20230102,1,11,9,1,1,0,4,244,6957.5,0,0,280
350,20220503,4,4,,2,1,0,6,630,4015.9,0,0,152
351,20220506,10,2,9,1,1,0,4,462,1881.1,0,0,487
352,20241008,10,1,8,1,1,0,1,85,4446.8,0,0,446
353,20220417,6,2,10,2,1,0,0,690,7893.6,0,0,396
354,20241020,2,1,9,9,1,0,8,381,6400.0,0,0,376
355,20230320,10,1,12,1,1,0,0,259,3405.1,0,0,469
356,20240807,1,3,5,3,8,0,0,718,350.9,0,0,544
357,20230211,8,9,6,4,3,67,67,123,1945.4,0,0,532
358,20220128,1,5,6,3,1,0,1,511,2757.7,0,0,391
359,20230815,10,4,2,2,1,0,0,459,8647.7,0,0,219
360,20230420,4,12,5,4,1,63,70,619,3555.0,0,0,438
361,20230719,3,9,10,2,3,0,10,510,2298.5,0,0,239
362,20230505,7,1,3,3,1,0,9,191,7320.2,0,0,399
363,20220906,1,9,10,1,1,-86,0,267,4985.1,0,0,218
364,20230322,8,8,11,4,1,17,20,674,5796.5,0,0,169
365,20221217,5,4,1,1,2,0,0,417,3025.8,0,0,444
366,20220711,3,6,3,2,8,0,0,436,7274.0,0,0,337
367,,7,,6,2,8,0,0,429,5440.4,0,0,108
368,20230102,8,3,10,10,1,0,6,352,506.7,0,0,378
369,20220605,5,2,9,2,4,0,8,706,2949.6,0,0,246
370,20221230,6,1,7,2,1,-264,0,650,8730.4,0,0,429
371,20230520,10,10,5,8,1,27,22,687,6671.4,0,0,365
372,20221123,6,4,1,1,6,9,19,516,3152.5,0,0,126
373,20230403,8,2,4,5,4,0,3,202,1191.2,0,1,311
374,20220406,9,12,9,2,6,0,0,339,772.2,0,0,340
375,20220628,7,12,10,5,6,103,101,470,2797.5,0,0,227
376,20230623,4,1,10,1,1,0,3,238,556.4,0,0,367
377,20220105,7,12,8,8,1,26,36,214,1936.2,0,0,144
378,20240715,2,6,3,2,1,0,5,120,3189.6,0,0,537
379,20231007,7,10,4,3,1,0,0,564,399.8,0,0,486
380,20240626,4,7,5,1,5,0,5,439,2097.5,0,0,331
381,20241113,9,10,3,4,1,81,85,105,2926.9,0,0,313
382,20240219,10,,2,2,6,0,0,624,2355.8,0,0,79
383,20241213,8,12,3,2,1,0,0,189,8786.4,0,0,272
384,20241008,10,9,7,4,1,86,91,656,#ERR,0,0,446
385,20230724,4,5,2,1,1,0,7,420,4022.0,0,0,9999
386,20231106,7,1,11,1,3,0,0,700,7689.9,0,0,471
387,20240719,5,10,11,2,1,0,0,132,956.1,0,0,151
388,20240710,8,11,2,3,1,0,9,134,8675.3,0,0,437
389,20220904,,11,10,3,1,0,0,366,4340.2,0,0,211
390,20230305,1,6,4,3,7,0,10,419,2956.2,0,0,539
391,20221108,2,3,6,2,2,0,0,176,1278.4,0,0,214
392,20230910,8,10,9,1,6,0,0,309,6324.7,0,0,514
393,20220326,5,11,7,2,1,22,25,656,4789.0,0,0,111
394,20221017,2,1,5,9,2,0,0,633,3276.6,0,0,478
395,20231105,9,10,8,8,5,0,1,670,5965.6,0,0,200
396,20220301,10,12,9,1,1,0,9,715,8951.9,0,0,125
397,20240303,6,12,5,1,6,0,0,696,4930.2,0,0,132
398,20220612,8,4,6,3,1,0,8,588,361.0,0,0,519
399,20241207,3,6,4,2,4,0,0,0,4252.8,0,0,183
400,20221219,6,11,1,1,1,0,3,494,6810.4,0,0,95
401,20230215,1,8,6,3,1,0,0,100,8800.9,0,0,298
402,20240729,4,6,5,4,1,77,84,320,4902.6,1,1,444
403,20230315,8,11,7,7,1,93,98,557,8873.5,0,0,389
404,20231015,6,7,12,1,1,0,2,399,3437.9,0,0,449
405,20231228,3,9,6,1,3,0,4,405,500.3,0,0,223
406,20241222,9,11,1,2,1,0,1,373,6718.4,0,0,195
407,20231007,5,,6,2,2,0,7,193,629.9,0,0,448
408,20220612,9,12,5,6,1,118,121,225,2801.2,0,0,172
409,20241218,8,9,10,1,1,0,0,284,6923.2,0,0,225
410,20240911,10,2,11,6,1,0,0,144,5383.7,0,0,85
411,20241012,3,6,3,2,3,0,0,581,3330.1,0,0,274
412,20241103,9,7,1,1,1,0,5,61,8815.5,0,0,370
413,20231120,,2,,1,1,0,3,122,2434.8,0,0,520
414,20220103,1,8,7,1,1,0,10,255,2298.2,0,0,285
415,20221022,3,,7,4,1,0,0,556,5972.2,0,0,90
416,20230729,10,10,2,2,1,0,7,510,3549.7,0,0,427
417,20221214,10,10,11,1,1,0,4,613,6795.1,0,0,501
418,20240208,10,9,9,1,1,0,1,409,457.8,0,0,81
419,20220203,1,1,7,1,8,0,8,587,1062.4,0,0,202
420,20230219,2,11,3,2,1,0,0,448,2201.0,0,0,474
