incident_id,date_id,compagnie_id,aeroport_id,type_incident_id,severite_score,duree_immobilisation_h,cout_incident_usd,nb_passagers_affectes,resolu
85,20220916,5,7,5,5,51.8,924089.03,458,1
86,20230307,2,5,4,4,20.3,1201787.04,221,1
87,20230117,9,7,3,5,55.9,311530.32,421,1
88,20220906,7,3,2,1,67.8,268192.34,211,1
89,20220923,9,5,1,5,53.3,123396.69,44,1
90,20241023,9,7,10,1,40.5,1657018.74,390,1
91,,3,5,7,5,0,1853762.52,368,1
92,20230902,7,6,7,1,22,358553.5,248,1
93,20220330,9,1,7,1,36.6,1569792.34,303,1
94,20231202,10,2,1,3,26.5,1038137.79,254,1
95,20220902,3,8,3,4,6,1481214.53,460,0
96,20231203,10,10,6,1,67.7,1774626.24,99,1
97,20240206,2,3,10,3,34.7,708698.12,175,1
98,20240518,7,8,1,2,69.9,-500,136,1
99,20231220,6,8,2,5,7.4,624040.5,57,0
100,20230929,1,10,3,3,22.5,371116.95,18,1
101,20241211,3,7,9,1,14.2,932186.57,62,1
102,20220318,7,12,5,3,44.9,653139.24,46,1
103,20241216,8,10,10,2,66.6,85488.47,169,1
104,20220715,10,11,1,4,40.1,414616.71,99,0
105,20230221,4,10,1,1,28.2,1761318.85,332,1
106,20240824,8,4,10,5,70.5,1820148.07,402,0
107,20220417,7,1,8,3,55.9,514677.54,398,1
108,20220526,5,8,9,5,33.7,1492481.71,247,1
109,20240327,6,8,6,3,9.6,284220.05,350,1
110,20240426,6,9,9,4,8.9,-,110,1
111,20230507,2,5,2,3,54.3,771858.77,480,1
112,20220425,6,12,1,2,22.9,1654890.7,104,1
113,20240911,1,7,6,4,32,579283.28,262,1
114,20230716,10,10,6,4,13,1408767.48,11,1
115,20240902,,12,3,1,29.9,1699540.11,108,1
116,20231215,6,5,7,2,7.7,998031.96,54,1
117,20220701,3,10,7,3,22.7,1758621,66,1
118,20230909,4,11,10,5,31.2,1214586.76,294,0
119,20220619,3,5,2,1,20.4,393340.49,275,1
120,20241215,10,3,9,1,43.5,1394875.72,386,1
121,,8,2,4,3,2.4,1385496.25,247,1
122,20221218,10,4,4,5,42.4,1663196.5,490,1
123,20230707,9,11,5,2,57,528419.41,231,1
124,20240521,3,12,5,5,8.9,922788.36,360,1
125,20221205,10,2,2,1,47.4,1313617.43,114,1
126,20220128,7,4,1,1,62.6,846741.23,324,1
127,20230503,2,6,5,1,27.6,-,171,1
128,20230410,4,11,8,2,34,779693.11,2,1
129,20221213,1,2,6,4,2.7,140491.44,432,1
130,20240929,7,2,8,1,17,1199070.17,9,1
131,20241022,5,12,7,4,22.1,1520724.07,214,1
132,20230206,1,3,1,3,13.9,737371.29,192,1
133,20230327,,4,10,1,46.1,1581631.35,495,1
134,20240713,3,5,6,1,28.1,514760.56,10,1
135,20240214,4,12,4,5,8.7,1617944.95,58,1
136,20221015,1,7,6,2,49,1909591.22,450,1
137,20220214,10,3,7,3,37.9,1334571.32,151,1
138,20240307,4,11,3,1,48.7,971644.57,450,1
139,20240823,2,10,5,3,17.9,8924.79,386,1
140,20231218,9,6,9,1,64.6,107514.14,263,0
141,20240607,5,5,9,3,25.3,903829.4,34,1
142,20220130,,9,6,3,45.9,56474.83,29,1
143,20240608,99,10,1,5,68.6,,347,1
144,20220103,3,6,8,1,2.4,26240.56,44,1
145,20231208,3,5,2,5,17.4,1121173.69,176,1
146,20240919,6,6,4,1,55.2,1827302.64,220,1
147,20230504,99,9,3,3,4.1,696851.02,133,1
148,20220202,9,12,3,4,8.2,1333957.23,227,1
149,20220625,5,11,5,2,25.3,64827.93,468,1
150,20231025,6,11,1,2,2.5,1858212.41,79,1
151,20240313,8,7,5,3,9.6,16242.24,449,1
152,20241022,10,10,3,3,39.6,150952.77,468,1
153,20220917,10,2,1,5,30.9,1195725.53,140,1
154,20220709,2,8,5,3,33.1,1774917.67,365,1
155,20230804,5,8,9,4,18.7,20415.22,47,1
156,,2,3,2,3,13.2,1439117.52,317,1
157,20240309,5,12,3,99,24.5,1642535.03,337,1
158,20220628,2,10,3,4,67.3,1708921.64,478,1
159,20240808,8,3,5,1,70.9,507656.36,345,1
160,20230116,3,9,9,1,1.9,1635920.85,293,0
161,20240919,7,8,5,4,50.6,1301138.42,397,0
162,20230604,10,8,5,2,18.8,924207.72,156,0
163,20230219,3,1,8,1,1,745.45,222,1
164,20220413,-1,1,7,3,21.2,1830350.59,415,1
165,20240314,3,5,10,3,12.7,988830.99,239,0
166,20230331,2,11,3,5,3.7,1387223.19,46,0
167,20241019,1,2,2,5,65.9,1650561.49,127,1
168,20240310,8,12,7,2,5.3,691194.54,33,0
169,20221023,4,9,1,3,20,1432502.28,363,1
170,20240211,8,11,1,1,6.8,1254618.69,219,1
171,20230225,5,10,7,4,66.3,84725.7,410,1
172,20220108,5,7,4,2,56,1414141.25,212,0
173,20220709,4,9,7,3,18,285278.79,344,1
174,20220705,9,7,1,3,25.1,215667.25,62,1
175,20241110,1,3,1,5,14.6,1958202.36,386,1
176,20240121,10,1,7,5,42.3,769929.47,339,1
177,20240921,4,8,1,4,43.2,1224276.79,430,1
178,20240705,7,4,5,4,1.8,1244489.83,461,1
179,20240922,5,10,2,4,59,246702.6,48,0
180,20230711,4,5,2,1,43.1,849804.64,65,1
181,20230428,6,9,1,1,45.8,1651834.72,387,1
182,20220202,9,11,7,3,1.2,594933.76,4,0
183,20230430,9,8,10,5,70,1749185.3,252,1
184,20230721,6,1,6,2,65.3,741886.39,281,1
185,20221220,5,7,7,2,61.8,1759341.16,166,1
186,20230109,5,12,1,5,4.3,1212923.03,451,1
187,20231231,8,4,3,3,39.7,1778637.85,466,1
188,20220419,8,3,5,99,55.9,1411320.69,337,0
189,20220724,2,1,10,4,60.7,752798.48,399,1
190,20220218,6,12,6,2,56.9,439818.6,84,1
191,20231029,7,6,1,4,26.5,501683.57,47,1
192,20240822,7,7,9,5,70,439797.13,239,1
193,20221105,9,7,5,3,11.9,912603.59,352,1
194,20230913,8,6,8,3,26.5,1469822.11,427,1
195,20240322,2,11,1,4,36.8,976508.38,367,1
196,20240509,7,5,6,2,26.3,1937146.74,423,1
197,20240714,7,10,2,1,2.6,1515569.04,1,0
198,20220821,5,11,8,1,48.4,1007080.51,102,0
199,20240627,9,7,1,4,14.1,459627.81,178,1
200,20221023,1,11,7,3,64.9,1839318.36,198,1
201,20230524,8,9,9,4,20.4,781655.25,325,1
202,20241204,10,2,5,4,71.4,918978.73,130,1
203,20230704,8,8,6,4,59.9,1405583.2,144,1
204,20230126,3,3,5,10,45.4,286309.6,305,0
205,20240731,9,8,5,3,16.8,145883.14,112,1
206,20230514,4,10,1,4,58.5,1787904.98,404,1
207,20220620,8,7,6,2,49.4,430222.6,106,0
208,20220819,6,3,7,3,29,159461.94,431,0
209,20230329,7,6,1,3,25.4,763764.22,8,1
210,20220930,1,2,3,4,27.2,599299.93,406,1
211,20220620,9,11,9,4,N/A,266127.62,320,1
212,20241029,,9,3,4,70.5,1646435.89,200,0
213,20230609,8,3,5,4,69.1,1021157.85,190,1
214,20221213,1,1,2,3,67.9,1538420.24,172,1
215,20230815,7,6,2,2,32.8,158203.59,252,1
216,20221001,,12,3,3,35.3,1855455.5,356,1
217,20220111,10,11,5,1,42.5,1552645,311,1
218,20220911,6,5,7,3,3.1,1049766.8,472,1
219,20230914,10,7,1,4,0,793015.62,480,1
220,20220919,2,5,3,4,71.3,565689.73,319,1
221,20221203,6,7,7,5,65.6,475762.41,125,0
222,20240923,3,8,9,5,64.4,1241534.92,429,1
223,20220412,2,4,1,2,19.5,406775.13,422,1
224,20240905,2,9,3,1,15.2,305138.58,177,1
225,20240603,5,1,5,1,43.4,663911.61,175,1
226,20220212,7,4,4,3,14.7,1722222.33,252,1
227,20240826,2,9,1,5,56.7,745702.02,83,1
228,20241219,8,10,5,5,62.8,1839396.48,45,1
229,20230411,7,7,9,3,28.9,1782001.04,225,1
230,20221213,8,7,9,3,56,1363678.16,467,0
231,20230717,2,9,9,4,12.6,603994.93,100,1
232,20220903,10,8,3,3,8.6,193438.26,17,1
233,20241031,6,12,1,3,56.2,168642.94,22,1
234,20220105,2,6,6,2,20.9,1835053.16,64,1
235,20220905,3,7,1,4,61.2,1823300,454,1
236,20220812,1,6,8,-1,22.9,1349563.38,273,1
237,20221025,7,10,4,4,29.8,1117283.1,388,1
238,20230402,6,3,1,5,60.3,1166169.2,335,0
239,20240327,4,3,1,1,6.2,957866.46,69,1
240,20220701,2,11,1,4,10.2,N/A,54,1
241,20241003,10,1,5,3,34.1,989313.19,337,1
242,20231006,8,12,1,4,15.6,1535490.57,277,1
243,20230711,3,1,10,2,43.3,167188.79,78,1
244,20240524,8,10,1,4,24.3,289456.66,361,1
245,20231021,1,2,6,2,4.5,1227425.09,429,0
246,20220518,4,8,1,4,23.6,912943.66,256,1
247,20240321,1,9,1,2,69.5,1136208.48,405,1
248,20220418,5,2,1,5,54.7,1960703.66,35,1
249,20231113,2,3,9,1,58.9,1758824.2,409,1
250,20240810,7,7,1,2,13.7,566932.98,409,1
251,20220811,10,6,4,5,1.2,1430139.41,261,1
252,20230807,9,2,7,2,12.9,1793470.18,83,1
253,20240627,7,9,1,99,53.1,737418.48,200,1
254,20220717,1,2,2,4,31.3,1164783.44,323,1
255,20220410,4,6,10,5,32.2,164368.78,404,1
256,20220804,5,12,5,3,28.7,1445257.01,365,1
257,20220825,4,9,9,2,69.4,1481388.15,271,0
258,20220503,2,10,1,3,64.5,1571312.27,314,1
259,20240816,5,5,3,3,35.5,-,106,0
260,20230608,8,9,9,3,5.2,1468793.51,76,1
261,20240117,6,7,2,4,68.5,N/A,239,1
262,20241122,9,4,3,3,28.7,1802220.95,296,1
263,20221126,6,11,7,2,42.5,1752510.58,291,1
264,20240129,2,3,1,4,72,1117513.71,179,1
265,20220520,9,12,1,3,9.7,709509.93,127,1
266,20240210,1,4,1,2,34.1,26408.12,385,0
267,20220320,8,11,6,4,61.7,1017204.76,299,1
268,20240713,6,1,6,5,16.4,497642.48,319,1
269,20240120,2,3,3,1,2.1,1128673.73,287,1
270,20231219,6,11,5,1,58.5,1132805.61,110,1
271,20230822,2,7,3,3,63.1,1939031.77,379,1
272,20230418,9,7,6,5,42.1,1233644.13,30,1
273,20220815,6,8,5,4,60.5,1367794.66,278,0
274,20220814,5,7,5,2,45.5,1704930.9,288,1
275,20231018,5,3,4,4,65.5,730887.97,166,1
276,20230730,8,6,7,5,9.2,435574.21,181,0
277,20240419,5,2,2,4,14.8,1232629.74,286,1
278,20240502,1,8,6,2,46.4,1570958.98,104,1
279,20220219,10,5,1,3,29,844769.43,302,1
280,20240523,10,1,9,3,31.3,1387762.74,247,1
281,20220116,9,8,3,5,5.4,713943.12,133,1
282,20220822,8,11,2,3,62,295377.78,11,1
283,20230607,3,4,6,3,70.9,119841.07,363,1
284,20230821,10,2,1,2,70.4,1301404.38,205,1
285,20240831,6,8,1,3,54.4,1153275.85,330,1
286,20231102,5,10,7,4,27.3,1297600.4,133,0
287,20220527,8,10,7,2,40.6,879417.84,324,1
288,,9,12,5,5,70.3,987893.96,127,0
289,20231004,1,3,1,4,26.6,461629.26,244,1
290,20231122,7,6,9,4,64.4,1471975.73,163,1
291,20230720,9,12,8,4,47.9,1059036.13,424,1
292,20230816,1,8,5,2,58,1971487.91,143,1
293,20230316,1,3,9,5,24.7,234944.43,450,1
294,20220712,8,12,3,1,17.9,1404537.41,280,1
295,20240925,8,7,5,3,65.3,1473362.41,426,1
296,20230913,7,1,3,4,17.8,870817.55,82,1
297,20240601,8,8,8,1,4.6,1612783.45,321,1
298,20230125,8,12,3,6,59.2,1025773.8,423,1
299,20221124,9,2,6,1,2.5,1078635.13,234,1
300,20220508,7,10,6,3,57.9,1346508.47,462,1
301,20220913,3,7,3,3,28.2,1706000.1,356,1
302,20240422,3,12,2,5,32.6,1948366.24,24,1
303,20220719,10,3,9,4,50,1400276.2,199,1
304,20220623,7,4,5,1,59,1567950.68,27,1
305,20241009,10,6,8,1,19.7,994436.99,82,1
306,20231002,3,9,1,3,19.8,1880004.65,113,1
307,20230324,1,8,3,3,0,1266394.22,309,1
308,20230501,10,7,9,3,2.9,857939.81,157,1
309,20240823,3,5,3,1,10.1,1915220.77,294,1
310,20230617,4,6,5,2,28,473927.47,259,1
311,20221203,,5,9,1,4.6,1962540.46,145,1
312,20240813,8,9,9,5,47.7,1930891.57,356,1
313,20220403,10,8,3,2,2.7,346876.82,150,1
314,20230916,3,2,1,1,35.6,-500,150,1
315,20231223,1,11,6,2,0,1261693.25,480,1
316,20240418,7,7,8,4,18.3,582016.46,279,1
317,20220617,3,5,1,3,0,546121.9,311,1
318,20240127,5,6,5,4,4,804259.95,291,1
319,20240228,6,2,1,1,15.2,856869.34,318,1
320,,4,5,3,2,50.4,867200.94,373,1
321,20220330,8,2,1,2,10.4,945290.7,209,1
322,20240327,6,1,5,2,65.8,1699570.24,483,1
323,20230331,8,4,5,4,41.2,58547.18,133,1
324,20241031,9,1,1,2,,1731117.99,397,0
325,20220927,10,1,9,1,42.6,1652541.7,26,1
326,20230301,5,7,2,5,20.7,153927.71,68,1
327,20230129,6,4,9,1,25.6,-500,476,1
328,20240121,1,6,4,1,20.5,282782.69,322,0
329,20230722,7,10,9,1,45.5,1950222.55,238,1
330,20230805,3,5,3,2,24.6,1853211.42,31,1
331,20240725,5,10,3,3,24.2,1348837.87,424,0
332,20220804,3,11,9,3,39.8,20804.26,291,1
333,20240806,8,7,1,2,44.4,9641.34,415,1
334,20241007,9,3,5,3,36.4,1701327.98,279,1
335,20230217,6,9,1,5,13.6,459885.51,350,1
336,20220813,3,9,10,4,4.5,141957.72,56,1
337,20240811,3,10,1,3,16.2,185766.93,452,1
338,20220729,8,1,9,2,13.6,709922.55,219,1
339,20220327,7,2,3,4,45.2,127599.04,68,1
340,20240612,5,10,9,5,47.6,735367.23,128,0
341,20240513,6,10,2,10,21.9,1233518.66,263,1
342,20221125,8,5,9,1,50.5,875774.84,447,1
343,20221104,1,4,1,4,42.6,1929266.84,236,1
344,20240701,7,10,1,2,20.3,337346.08,48,0
345,20230706,6,11,1,3,1.9,552936.74,288,1
346,20220227,7,6,6,0,60.5,761071.46,104,1
347,20240705,10,5,4,5,58.6,847783.24,162,1
348,20241023,4,1,5,2,3.6,1499024.99,379,1
349,20220928,2,11,3,2,70.9,1494993.88,217,1
350,20220402,4,9,1,4,37.4,1597231.82,62,1
351,20230129,7,4,3,3,16.8,1480287.53,70,1
352,20220705,6,10,3,4,18.7,1672000.41,306,1
353,20220331,3,3,4,3,14,374485.07,196,1
354,20220511,5,6,3,3,3.5,-500,253,1
355,20230520,5,3,6,5,14.7,806299.13,244,1
356,20241115,3,7,1,2,67.5,348397.22,264,1
357,20230817,8,4,6,2,47.1,453189.59,383,1
358,20230405,3,6,3,3,21.8,1043493.02,419,1
359,20230121,8,3,3,4,22.4,399739.7,78,1
360,20241117,2,3,3,3,6.2,956846.47,81,1
361,20230101,3,2,9,1,44.1,1571102.51,401,1
362,20241002,6,7,5,2,24.1,375984.98,357,1
363,20221111,7,8,1,3,8.7,487144.21,337,1
364,20240402,7,10,1,3,16.9,1610750.94,106,1
365,20230831,2,2,3,3,54.6,1513325.04,200,1
366,20230523,10,7,5,2,11.2,1754170.24,266,1
367,20240505,3,10,9,4,59,571434.72,227,1
368,20220105,8,9,1,5,34.5,1633331.71,70,1
369,20221218,4,8,3,1,58.6,435115.56,416,1
370,20241216,8,3,5,2,20,150472.99,117,1
371,20220708,2,6,3,4,67,608817.84,65,1
372,20240425,3,5,7,5,47.1,1065066.99,190,1
373,20231104,9,12,9,4,64.9,452224.18,200,1
374,20230210,1,5,4,5,17.5,675777.13,378,0
375,20220726,3,1,7,4,66.7,1994274.32,90,1
376,20220917,3,2,7,3,63.5,347210.23,132,1
377,20240118,8,4,1,1,27.5,1745048.4,85,1
378,20240613,1,5,3,1,60,328411.55,112,1
379,20220503,6,9,9,4,34.3,1077205.7,412,1
380,20240729,7,9,7,4,26.5,689381,16,1
381,20240909,1,3,1,1,24.9,895265.95,128,0
382,20240905,8,7,9,3,67.3,1592425.76,344,0
383,20240526,3,1,7,2,56.8,855004.89,457,0
384,20231110,1,7,3,3,38.7,788414.62,314,1
385,20230316,2,3,5,1,58.7,971250.87,94,1
386,20240413,7,7,3,3,62.6,216870.93,86,1
387,20240627,1,4,9,2,26.4,1009517.04,437,1
388,20230528,4,4,6,3,21.6,594473.12,375,1
389,20220817,2,4,6,2,47.6,1951313.11,88,1
390,20241013,4,10,1,4,2.9,635617.04,456,1
391,20240704,3,7,9,1,4.4,618647.27,336,1
392,20240129,9,10,9,2,35.1,1675841.14,370,1
393,20240823,1,2,8,1,41.4,1211805.42,447,1
394,20230303,2,6,5,5,51.1,N/A,130,1
395,20230808,2,1,6,2,69.9,377446.99,232,1
396,20230622,,12,2,5,,1671146.57,155,1
397,20220903,2,7,10,1,36.6,138182.42,55,1
398,20240808,3,6,8,3,45.6,1035253.84,451,1
399,20230407,4,1,8,4,4.5,187587.21,5,0
400,20240714,2,4,7,2,21.2,700091.99,270,1
401,20240911,10,1,10,2,53.2,927805.75,116,0
402,20220312,8,8,3,4,4.8,1538706.79,204,1
403,20240424,3,10,7,1,21.3,974940.93,373,1
404,20240417,1,7,9,2,16.1,1242168.28,314,1
405,20240811,9,11,5,4,49.4,861398.67,278,0
406,20230801,3,12,1,2,54.7,1006505.48,158,1
407,20230310,5,10,7,4,51.4,227642.85,43,1
408,20220211,8,11,6,2,16.2,206990.3,440,0
409,20240423,5,9,4,3,35.6,187907.02,10,1
410,20240523,9,5,7,5,38.6,1628607.63,188,1
411,20230313,1,9,9,3,0,1916127.29,469,1
412,20230814,9,1,6,2,17,411419.62,264,1
413,20220217,2,11,3,3,53.3,1568169.29,399,1
414,20220620,8,4,1,4,14.7,1413438.25,16,1
415,20240814,8,3,6,3,7.3,738801.64,149,1
416,20221203,4,1,2,3,1.8,1915861.45,81,1
417,20231023,7,2,6,5,69.6,1022614.47,83,0
418,20240311,3,2,4,10,32.6,183676.79,30,1
419,20220627,10,3,6,5,36.9,1167882.49,300,1
420,20240229,2,8,5,3,15.8,1030883,357,1
421,20220518,8,9,6,6,46.5,1967150.98,115,1
422,20240603,3,2,8,3,58.3,162950.05,486,1
423,20240102,5,5,9,2,13.8,54793.84,450,1
424,20240117,2,11,9,3,45.2,585345.19,63,1
425,20221204,5,5,5,1,27.1,1854470.39,349,1
426,20240407,4,3,3,3,21,890474.92,454,1
427,20230217,4,11,3,5,40.9,481064.39,310,0
428,20241023,9,10,7,2,35.3,975061.47,101,0
429,20231210,3,12,5,4,33.3,106709.22,222,1
430,20240320,10,6,1,5,1.4,56441.33,446,1
431,20221216,7,10,9,3,71.6,710076.85,422,1
432,20240810,7,7,10,-1,30.5,493756.11,241,1
433,20221208,7,3,2,5,23.5,583768.04,371,1
434,20240118,5,2,1,1,49.1,188993.09,0,1
435,20241115,1,6,5,4,48.1,1484657.08,112,1
436,20230225,7,2,7,2,9.4,495622.59,102,0
437,20241214,2,11,9,2,31.6,763165.49,74,1
438,20230707,10,9,7,4,66.9,220815.42,139,1
439,20220224,3,5,3,1,36.3,1877827.01,374,1
440,20230916,6,2,9,1,28.6,840233.67,28,1
441,20240418,7,4,7,1,22.1,1550662.08,2,1
442,20221127,5,5,3,4,29.6,1543112.96,279,0
443,20240630,3,4,3,4,20.3,383543.87,37,1
444,20240420,8,10,7,1,56.9,1047354.03,311,1
445,20241010,5,6,5,4,22.7,49698.4,188,1
446,20240129,8,6,5,2,71.7,1579831.59,81,0
447,20220723,7,7,3,2,17.3,857199.01,387,1
448,20240212,7,3,3,1,64.5,1539441.41,368,0
449,20241011,8,2,7,1,38.5,145671.68,97,1
450,20240714,1,3,1,3,23.5,806488.91,350,1
451,20241210,4,3,3,4,31.6,1402751.94,189,1
452,20220624,2,5,10,4,48.9,1865301.4,430,1
453,20240307,7,5,5,3,25.7,327303.59,180,0
454,20241012,4,6,3,3,54.5,793663.76,476,1
455,20230503,3,4,2,3,23.9,1126453.34,62,1
456,20220727,9,5,1,2,49,1117220.88,219,1
457,20240402,8,6,3,3,29.2,466225.2,469,1
458,20220317,9,8,5,2,8.5,1313479.14,160,1
459,20230130,2,4,2,4,32.5,1790696.96,316,0
460,20241124,7,4,5,5,41.4,1231203.26,36,1
461,20240720,6,11,1,1,33.5,1499907.03,237,1
462,20220111,3,2,6,2,27.7,1908769.81,11,1
463,20241221,5,10,10,5,57.7,74920.44,13,1
464,,1,12,10,2,43.2,1895564.01,183,1
465,20240114,10,10,10,5,4.4,968576.15,339,1
466,20230630,1,3,1,4,62.3,1166524.75,117,1
467,20240720,3,3,8,1,59,1307660.02,17,1
468,20230205,10,5,1,4,51,1366867.54,385,1
469,20231029,6,5,2,1,70.1,984898.63,356,1
470,20221026,4,5,3,2,32.5,1266230.63,264,1
471,20230923,3,6,10,4,39.7,935509.48,197,0
472,20241016,4,6,10,1,32.3,596030.47,378,1
473,20230910,,9,1,2,17.4,1314448.57,160,1
474,20240528,8,1,1,2,66.8,1705548.29,229,0
475,20230720,1,10,5,5,9.1,-,390,1
476,20240712,5,12,6,4,35.5,779624.52,57,1
477,,1,3,5,5,53.7,737512.65,482,1
478,20241118,,7,2,5,8.1,265790.46,300,1
479,20231017,8,10,1,1,41.4,89612.9,357,1
480,20220721,9,10,2,5,27.8,303359.11,264,1
481,20220429,1,4,8,1,28.2,646839.84,390,0
482,,-1,3,5,10,43.9,1012921.52,117,1
483,20221116,5,7,10,1,31.4,474292.85,128,1
484,20231114,9,3,7,2,52.3,1154948.36,235,1
485,20240625,5,2,4,2,8.5,1551378.57,431,1
486,20230501,9,8,9,1,23.1,1752581.18,71,1
487,20221120,1,2,6,5,41.7,1456164.57,452,1
488,20230623,-1,12,1,3,2.3,1240700.03,490,1
489,20220114,1,10,8,5,45,1219333.19,256,1
490,20220404,4,9,4,1,9.2,1399860.34,311,1
491,20240830,10,2,9,3,7.7,1179746.4,278,1
492,,5,9,5,4,12.1,1397208.22,411,0
493,20240801,2,12,8,5,68.3,708434.13,336,1
494,20230727,8,3,7,4,42.2,1005876.06,381,1
495,20231214,10,11,7,1,1.6,1983034.58,393,1
496,20230926,8,6,3,3,37.9,57712.87,128,1
497,20230102,9,8,3,1,44.2,1368698.38,83,1
498,20230118,2,7,8,3,68.3,113472.69,91,0
499,20240326,5,6,6,3,63,1068562.86,486,1
500,20230725,2,5,2,4,9.2,932877.68,201,1
501,20221218,9,10,1,1,54.3,990543.17,474,1
502,20230726,7,11,1,2,51.8,1625874.44,308,0
503,20221228,,7,9,3,54.6,1886881.12,157,0
504,20240709,1,4,3,1,71.6,1036370.56,96,1
505,20240726,5,6,2,4,42.8,1444123.62,363,1
506,20220803,6,1,1,1,32.7,1251897.16,74,1
507,20241222,8,10,2,3,54.2,1751792.35,342,1
508,20220126,6,12,6,1,62.1,1240537.7,311,1
509,20240920,6,3,1,1,30.5,1337254.04,197,1
510,,8,4,6,3,68.4,1134725.35,269,1
