perf_id,date_id,compagnie_id,aeroport_id,nb_vols_total,taux_ponctualite,taux_annulation,retard_moyen_min,satisfaction_score,revenus_estimes_usd
44,20220501,4,7,519,0.74,0.0332,39.3,3.02,3533982.79
45,20220501,5,8,216,0.79,0.0147,19.6,3.33,9100331.03
46,20220501,6,1,95,0.85,0.0059,39.3,3.61,1214831.79
47,20220501,7,5,116,0.93,0.0242,26.9,6,14471133.02
48,20220501,8,7,551,0.87,0.0316,14.5,4.32,11990121.21
49,20220501,9,9,468,0.78,0.0158,39.1,4.23,14140528.37
50,20220501,10,7,443,0.75,0.0348,36.1,4.83,3123603.99
51,20220601,1,11,144,0.75,0.04,32.7,3.61,4814152.26
52,20220601,2,5,581,0.82,0.009,5.7,4.82,14841441.44
53,20220601,3,12,402,0.82,0.0249,22.3,4.24,13804007.16
54,20220601,4,4,353,0.68,0.0212,9.2,3.75,13838718.61
55,20220601,5,7,345,0.76,0.0183,17,4.81,9476421.6
56,20220601,6,3,473,0.83,0.0204,43.5,3.14,5914160.52
57,20220601,7,11,519,0.82,0.0267,44.5,4.21,11264433.12
58,20220601,8,11,328,0.82,0.02,23.9,3.59,14348938.14
59,20220601,9,7,396,0.72,0.029,8.8,4.33,2193924.17
60,20220601,10,5,162,0.74,0.009,42.1,3.49,7043355.57
61,20220701,1,9,373,0.77,0.0248,44.7,3.39,9872742.89
62,20220701,2,3,-336,0.89,0.0265,16.6,4.07,4837397.75
63,20220701,3,12,129,0.81,0.0095,30.9,6,9318597.13
64,20220701,4,8,466,0.65,0.0114,20.6,4.03,5878225.33
65,20220701,5,9,348,0.75,0.013,7.5,4.78,2134324.93
66,20220701,6,2,227,0.74,0.006,23.6,3.68,7993064.47
67,20220701,7,7,531,0.86,0.0067,38,4.62,13553329.66
68,20220701,8,4,217,1.5,0.029,15.8,3.03,12896123.59
69,20220701,9,11,379,0.66,0.033,16.6,4.71,6470377.21
70,20220701,10,2,599,0.7,0.0367,38.6,4.73,1432274.3
71,20220801,1,3,363,0.77,0.0057,8.2,3.02,2529240.2
72,20220801,2,10,421,0.87,0.0282,28.8,4.25,12541166.54
73,20220801,3,7,566,0.79,0.008,25.2,3.04,4434491.47
74,,4,6,89,0.68,0.0355,34.2,3.21,10571866.66
75,20220801,5,2,173,0.77,0.0309,12,4.22,1724347.46
76,20220801,6,9,422,0.85,0.0278,18.6,4.36,3588277.78
77,20220801,7,3,249,0.92,0.0207,27.6,4.77,12956165.26
78,20220801,8,11,417,0.83,0.0156,21.4,3.04,10809000.63
79,20220801,9,10,451,0.69,0.0056,30.5,3.66,13233498.72
80,20220801,10,7,234,0.77,0.0243,43.5,3.14,N/A
81,20220901,1,1,135,0.86,0.0086,26.1,3.52,13855991.55
82,20220901,2,4,109,0.94,0.014,10.6,4.4,8865992.72
83,20220901,3,1,120,0.87,0.0256,41.2,3.14,3327600.24
84,20220901,4,5,315,0.72,0.0251,31.7,3.36,1168603.73
85,20220901,5,12,164,0.82,0.0331,42,4.43,7093602.12
86,20220901,6,10,526,0.82,0.03,21.2,3.42,7372025.3
87,20220901,7,7,425,0.94,0.0329,5.1,3.14,7149112.88
88,20220901,8,11,188,0.87,0.0095,11,3.3,6285714.86
89,20220901,9,10,465,0.77,0.0372,10,3.05,3362368.61
90,20220901,10,12,89,0.74,0.0241,37.8,3.95,6374106.78
91,20221001,1,10,108,0.84,0.0174,30,4.72,14814257.49
92,20221001,2,4,484,0.92,0.0329,41.6,4.64,3465382.81
93,20221001,3,6,357,0.84,0.024,43.3,3.5,4102104.68
94,20221001,4,7,197,0.76,0.0061,31.4,3.32,12998441.86
95,20221001,5,8,183,0.84,0.0126,33.4,3.53,10760058.54
96,20221001,6,10,301,0.82,0.0235,8.4,3.77,7274595.07
97,20221001,7,7,239,0.94,0.0065,10.3,3.7,13517369
98,20221001,8,8,89,0.85,0.0123,17,4.84,851385.25
99,20221001,9,9,164,0.79,0.0096,38.8,3.89,14913409.67
100,20221001,10,3,134,0.78,0.0347,26.2,3.76,2891114.28
101,20221101,1,8,534,0.81,0.0321,17.8,3.74,3607719.37
102,20221101,2,3,423,0.87,0.0318,36.8,3.19,11847430.12
103,20221101,3,6,555,0.87,0.0302,39.7,4.82,4655682.06
104,20221101,4,9,103,0.76,0.0372,42.1,4.33,6460451.9
105,20221101,5,10,522,0.82,0.0369,17.1,4.88,8402436.47
106,20221101,6,5,NULL,0.83,0.0345,9.8,3.75,3961498.76
107,20221101,7,12,223,0.95,0.0375,43.6,3.67,9805797.63
108,20221101,8,4,432,0.82,0.0097,9.8,4.32,11998309.86
109,20221101,9,12,-554,0.74,0.0389,38.7,4.04,13191495.75
110,20221101,10,3,-517,0.77,0.0151,17,4.56,12856875.68
111,20221201,1,11,86,0.79,0.0288,30.2,3.06,4193012.6
112,20221201,2,12,419,-0.1,0.0255,19.7,3.93,8067125.4
113,20221201,3,12,511,0.88,0.0167,16,3.93,7164447.06
114,20221201,4,1,213,0.67,0.0322,22,4.59,3443308.83
115,20221201,5,11,597,0.8,0.0121,9.4,3.97,4109067.36
116,20221201,6,6,342,0.84,0.0274,26.6,4.75,13061005.78
117,20221201,7,6,370,0.88,0.0327,32.4,3.23,10653254.96
118,20221201,8,7,439,0.75,0.0144,33.6,0,7089782.54
119,20221201,9,7,361,0.74,0.0129,14.3,3.16,8087047.79
120,20221201,10,11,579,0.78,0.0388,8.4,4.74,1274350.8
121,20230101,1,8,379,0.79,0.0081,27.4,4.6,3191096.1
122,20230101,2,7,447,0.88,0.0054,13.9,4.2,11546861.35
123,20230101,3,6,545,0.87,0.038,31.7,3.96,2685250.18
124,20230101,4,9,285,0.69,0.0183,16,4.57,11546520.49
125,20230101,5,9,524,0.73,0.0228,19.9,3.31,11993303.14
126,20230101,6,3,279,0.8,0.0343,13.7,4.81,14284600.66
127,20230101,7,7,200,0.9,0.0371,18.8,3.16,12078793.58
128,20230101,8,7,97,0.82,0.0082,39.7,3.04,-50000
129,20230101,9,10,322,0.7,0.0084,28.3,3.83,6204926.17
130,20230101,10,1,475,0.74,0.0353,11.5,4.52,8584629.39
131,20230201,1,5,454,0.83,0.0167,16.7,4.45,4096065.76
132,20230201,2,1,82,0.87,0.0166,26.4,4.3,7904286.33
133,20230201,3,12,429,0.8,0.0233,12.3,4.71,13860885.72
134,20230201,4,7,305,0.68,0.0099,29.9,4.64,8531895.28
135,20230201,5,6,357,0.74,0.0155,14.3,4.49,1683483.63
136,20230201,6,7,371,0.82,0.0083,5.7,4.02,6019849.29
137,20230201,7,9,139,0.92,0.0308,41.9,3.12,7282603.71
138,20230201,8,5,117,0.78,0.0311,32.7,3.29,4565549.51
139,20230201,9,12,264,0.71,0.0055,23,3.44,11310628.74
140,20230201,10,6,546,0.76,0.0096,13.7,4.49,13608078.02
141,20230301,1,5,515,0.81,0.0398,39.6,3.24,9351145.9
142,20230301,2,3,338,0.95,0.0332,26.3,3.76,3540582.36
143,20230301,3,5,265,0.85,0.027,18.5,4.38,9252031.72
144,20230301,4,4,342,0.73,0.0178,8.1,3.93,2624774.92
145,20230301,5,6,315,0.82,0.0311,15.3,3.62,3153818.64
146,20230301,6,12,380,0.89,0.0323,23.5,3.6,3820766.76
147,20230301,7,8,191,0.97,0.0131,12.4,3.7,10394312.06
148,20230301,8,7,541,0.82,0.0355,33.6,4.47,7605968.76
149,20230301,9,6,428,0.73,0.0301,29.2,4.72,11577545.66
150,20230301,10,5,377,0.79,0.038,7.3,4.66,11525805.19
151,20230401,1,8,141,0.78,0.0365,43.2,3.81,12327070.89
152,20230401,2,8,244,0.92,0.0177,30.3,3.15,3488021.78
153,20230401,3,10,383,0.89,0.0057,20.4,4.43,8303663.45
154,20230401,4,12,113,0.73,0.0354,6.1,3.46,5756499.9
155,20230401,5,7,137,0.79,0.0343,25.9,3.99,13181783.23
156,20230401,6,9,324,0.81,0.0055,8.7,3.34,-50000
157,20230401,7,12,257,0.91,0.0221,26.8,4.36,7549631.6
158,20230401,8,2,297,0.82,0.0339,37,3.67,963487.37
159,20230401,9,12,285,0.79,0.0174,18.4,4.12,8257036.28
160,20230401,10,9,279,0.8,0.0251,8.6,4.45,2090998.62
161,20230501,1,4,365,0.83,0.0086,12.7,3.73,14188645.77
162,20230501,2,1,532,0.95,0.022,32.6,3.63,8142496.54
163,20230501,3,6,109,0.85,0.0212,37.2,4.36,7491456.16
164,20230501,4,6,305,0.69,0.0229,24.2,3.72,4968084.1
165,20230501,5,11,142,0.78,0.022,12.3,3.7,12008358.35
166,20230501,6,7,473,0.87,0.0377,30.6,4.73,9348578.34
167,20230501,7,3,463,0.93,0.014,19.8,4.49,4346963.05
168,20230501,8,7,334,0.83,0.0394,15.6,3.58,13039292.42
169,20230501,9,11,464,0.77,0.0287,24.5,4.12,9527885.9
170,20230501,10,1,275,0.82,0.0241,6.5,4.63,12081867.56
171,20230601,1,8,168,0.72,0.0266,30.3,3.56,12568056.44
172,20230601,2,11,577,0.83,0.0376,22.7,3.28,2371990.05
173,20230601,3,6,567,0.86,0.0172,43.4,3.54,11141424.09
174,20230601,4,5,307,0.63,0.0221,12.2,4.42,1179557.49
175,20230601,5,10,405,0.73,0.0099,35.1,4.86,14501139.12
176,20230601,6,10,298,0.74,0.0179,13.5,4.79,13390267.31
177,20230601,7,12,236,0.88,0.0362,33.2,,13297058.94
178,20230601,8,1,206,0.78,0.0138,38.2,3.76,1163191.19
179,20230601,9,8,302,0.67,0.0173,37.5,3.07,8674700.63
180,20230601,10,3,483,0.71,0.0219,10.4,4.01,11018934.28
181,20230701,1,8,86,0.76,0.0146,43,3.2,13545344.67
182,20230701,2,9,271,0.92,0.0096,28,4.65,3418998.61
183,20230701,3,7,222,0.83,0.0262,41.3,3.97,1317027.89
184,20230701,4,4,-544,0.69,0.0306,28.7,3.52,4862648.8
185,20230701,5,6,256,0.79,0.0398,41.2,4.16,13507059.64
186,,6,2,341,0.77,0.0149,5.4,3.63,3434774.96
187,20230701,7,4,485,0.88,0.021,30.3,4.31,8308501.69
188,20230701,8,1,157,0.82,0.0268,33.8,4.4,11681887.44
189,20230701,9,6,138,0.7,0.0083,36.6,4.89,7025858.01
190,20230701,10,11,201,0.71,0.0279,31.8,4.47,10249630
191,20230801,1,7,404,0.72,0.0195,44.5,4.82,8870849.37
192,20230801,2,1,203,0.89,0.0276,35.9,3.39,7887956.47
193,20230801,3,5,181,0.84,0.0345,14.8,3.32,9121217.46
194,20230801,4,3,532,0.62,0.0103,29.2,4.45,9703776.79
195,20230801,5,6,419,0.72,0.0204,30.6,4.67,2529146.99
196,20230801,6,9,328,0.8,0.0234,26.7,3.79,10695737.58
197,20230801,7,8,559,0.89,0.0078,28.9,3.52,10253938.77
198,20230801,8,8,208,0.76,0.0161,23.4,3.63,804308.69
199,20230801,9,5,377,0.69,0.0283,21.7,3.13,2663115.02
200,20230801,10,5,107,0.74,0.029,33.7,4.5,10795907.88
201,20230901,1,11,221,0.84,0.0312,29.9,3.57,6439750.37
202,20230901,2,5,198,0.95,0.03,15.9,4.4,10423752.1
203,20230901,3,12,360,0.84,0.0281,27.2,4.58,14297744.58
204,20230901,4,6,400,0.7,0.0273,39.2,3.24,5983599.25
205,20230901,5,9,97,0.81,0.0361,32,3.49,9888004.95
206,20230901,6,1,483,0.89,0.0375,8.3,4.86,3494604.09
207,20230901,7,5,592,0.9,0.0374,26,4.59,1773359.42
208,20230901,8,4,421,0.84,0.0093,7.2,3.49,1596395.87
209,20230901,9,10,585,0.72,0.0389,13.9,4.66,12632547.09
210,20230901,10,2,110,0.78,0.0265,9.2,3.72,11438877.7
211,20231001,1,4,#REF!,0.84,0.0392,34.4,4.28,5535239.79
212,20231001,2,3,295,0.91,0.0148,30.3,3.87,9641393.86
213,20231001,3,8,89,1.5,0.0322,28,4.29,4609307.13
214,20231001,4,4,150,0.69,0.0126,14.6,4.87,12644819.33
215,20231001,5,9,301,0.84,0.0216,13,4.56,11749756.76
216,20231001,6,2,389,0.87,0.0139,20,3.77,3884958.4
217,20231001,7,11,-276,0.96,0.0092,34.8,4.89,12813681.02
218,20231001,8,12,561,0.84,0.024,41.8,3.37,802608.52
219,20231001,9,10,413,0.72,0.0287,39.6,3.74,14616256.85
220,,10,9,315,0.77,0.0178,12.8,4.18,12970839.93
221,20231101,1,9,322,0.84,0.0337,24.2,3.62,14308727.58
222,20231101,2,10,569,0.88,0.0279,12.8,4.41,9772981.28
223,20231101,3,3,413,0.86,0.0065,9.9,4.19,8523828.76
224,20231101,4,3,426,0.69,0.0386,43.1,3.44,6026925
225,20231101,5,9,200,2,0.0174,38.1,3.67,13822667.79
226,20231101,6,8,542,0.87,0.016,15.5,3.84,6854802.79
227,20231101,7,1,568,0.97,0.0176,10.3,4.81,11782573.38
228,20231101,8,1,116,0.8,0.0268,31,4.48,12176356.94
229,20231101,9,2,539,0.77,0.0204,11.3,4.27,11634308.59
230,20231101,10,7,339,0.8,0.0231,20.4,3.69,4581834.47
231,20231201,1,10,544,0.82,0.0145,17.4,4.48,6756090.69
232,20231201,2,5,585,0.9,0.0166,43.4,4.73,6020854.84
233,20231201,3,6,103,0.85,0.0119,37.1,3.92,12352471.88
234,20231201,4,10,395,0.73,0.0361,19.8,4.24,852336.78
235,,5,7,451,0.77,0.018,37.8,4.08,4265899.18
236,20231201,6,8,411,0.83,0.0377,5.1,4.71,1278004.56
237,20231201,7,11,443,0.89,0.0182,33,4.85,2487423.05
238,20231201,8,12,142,0.84,0.0229,22.4,3.99,1208229.31
239,20231201,9,2,574,0.74,0.0302,26.9,4.01,14136485.75
240,20231201,10,2,522,0.72,0.0101,23.8,3.29,3193979.9
241,20240101,1,6,545,0.75,0.0171,39,4.86,4352552.14
242,20240101,2,12,213,0.86,0.013,22,4.18,1128109.05
243,20240101,3,11,435,0.81,0.0299,11,4.43,6281728.12
244,20240101,4,5,531,0.66,0.0204,5.7,3.03,7931906.52
245,20240101,5,8,598,0.76,0.0397,24.7,4.82,11867409.34
246,20240101,6,1,369,0.79,0.0387,9.9,4.77,11092099.18
247,20240101,7,12,420,0.9,0.0119,6.7,4.31,8829526.7
248,20240101,8,11,278,0.75,0.0364,17.4,4.88,7421474.51
249,20240101,9,3,322,0.73,0.0263,17.1,4.35,3565111.96
250,20240101,10,12,274,0.71,0.0289,43.5,4.85,6615387.46
251,20240201,1,6,577,0.75,0.009,32.7,4.04,13867116.34
252,20240201,2,3,597,0.87,0.0156,17.9,3.18,-50000
253,20240201,3,7,519,0.87,0.0329,24.6,4.5,5445383.41
254,20240201,4,10,243,0.65,0.0244,28.4,3.8,12708547.51
255,20240201,5,10,101,0.74,0.0187,17.3,3.43,5610531.06
256,20240201,6,2,167,0.85,0.0227,34.7,3.78,7062434.53
257,20240201,7,6,469,0.88,0.0138,10.1,3.26,3404533.57
258,20240201,8,6,352,0.8,0.0301,33.5,3.77,12932050.59
259,20240201,9,8,160,0.73,0.0069,5.7,3.37,11455188.87
260,20240201,10,11,128,0.75,0.0282,30.1,4.3,8428240.86
261,20240301,1,9,87,0.79,0.0247,22.6,3.82,9593560.04
262,20240301,2,1,246,0.94,0.0276,5.1,3.28,10010793.24
263,20240301,3,1,499,2,0.0378,30.9,3.42,7344400.02
264,20240301,4,2,244,N/A,0.0328,14,4.34,4502942.55
265,20240301,5,8,441,0.8,0.0385,9.6,4.72,3923849.16
266,20240301,6,7,452,0.86,0.0308,13.1,4.59,3417277.12
267,20240301,7,10,550,0.89,0.0212,10.4,3.57,4018457.74
268,20240301,8,12,557,0.87,0.0098,36.7,4.62,8026625.76
269,20240301,9,10,277,0.73,0.0199,32.8,4.4,6132664.04
270,20240301,10,6,364,0.79,0.0108,35.8,4.41,4755419.09
271,20240401,1,9,472,0.82,0.0385,8.8,4.18,10013465.39
272,20240401,2,3,481,0.93,0.0136,5.7,4.16,11212859.4
273,20240401,3,5,234,0.91,0.0184,32.4,4.4,14922319.17
274,20240401,4,7,254,0.74,0.0225,42.9,3.27,6144267.47
275,20240401,5,5,169,0.82,0.0166,23.4,3.61,8572921.3
276,20240401,6,12,#REF!,0.81,0.0276,30.3,4.64,12250628.28
277,,7,9,534,0.95,0.0112,25.4,4.41,3089439.31
278,20240401,8,3,285,0.85,0.0388,18,3.39,5756927.16
279,20240401,9,9,570,0.76,0.0273,9.5,3.94,9184710.88
280,20240401,10,10,137,0.78,0.0091,33.2,4.83,5609378.58
281,20240501,1,10,458,0.8,0.0358,25.9,4.8,8272311.85
282,20240501,2,11,423,0.87,0.0142,40.9,4.15,2473864.19
283,20240501,3,11,95,0.86,0.0361,29.4,3.44,4366965.46
284,20240501,4,7,328,0.69,0.0384,29.1,3.2,13885914.36
285,20240501,5,9,101,0.8,0.026,22.9,4.01,4365143.24
286,20240501,6,11,424,0.88,0.0093,32.3,4.53,12990243.51
287,20240501,7,9,453,0.95,0.0211,19.9,3.12,1381921.12
288,20240501,8,3,487,0.79,0.0163,14.7,4.18,11254541.11
289,20240501,9,3,547,0.73,0.0141,35.7,3.01,4591821.81
290,20240501,10,9,262,0.77,0.01,22.6,4.21,9779851.9
291,20240601,1,11,81,0.75,0.0115,23.6,3.91,10278571.73
292,20240601,2,7,402,0.81,0.0116,37.2,3.54,10816020.65
293,20240601,3,4,543,0.87,0.0073,36.6,3.36,7568523.96
294,20240601,4,4,589,0.62,0.0136,35.9,3.22,11488295.22
295,20240601,5,7,95,0.79,0.0252,6.2,4.41,9323736.52
296,20240601,6,5,353,0.79,0.0112,38.1,3.25,5438715.41
297,20240601,7,6,575,0.84,0.024,23.8,4.43,1614681.77
298,20240601,8,8,139,0.8,0.0251,42.4,3.25,8979491.31
299,,9,5,307,0.74,0.0139,11.6,3.37,3313992.3
300,20240601,10,6,578,0.67,0.0183,38.1,3.5,11781511.28
301,20240701,1,6,518,0.76,0.0255,35.4,4.7,12462708.85
302,,2,5,392,0.86,0.0105,19.6,3.22,4488523.31
303,20240701,3,7,159,0.79,0.0399,41.4,4.58,8461879.04
304,20240701,4,8,225,0.63,0.0117,33.3,4.4,8986142.31
305,20240701,5,2,438,0.74,0.0357,38.1,3.12,14049978.21
306,20240701,6,3,415,0.75,0.0232,21.1,3.28,13135042.68
307,20240701,7,9,575,0.85,0.0285,42.8,4.19,9251283.06
308,20240701,8,12,138,0.77,0.0117,42.8,3.6,3366655.97
309,20240701,9,3,552,0.69,0.0319,31.1,3.08,2428308.26
310,20240701,10,9,534,N/A,0.0326,34.6,3.42,6800715.54
311,20240801,1,5,449,0.72,0.0105,24.2,4.34,14227693.8
312,20240801,2,4,568,0.82,0.0155,23.2,3.13,14599714.89
313,20240801,3,1,314,0.82,0.0177,23.7,3.05,7691312.73
314,20240801,4,10,213,0.65,0.01,32.4,4.89,-50000
315,20240801,5,3,229,0.71,0.0202,39.3,3.59,4883808.71
316,,6,8,422,0.82,0.0157,32.8,3.04,1786057.74
317,20240801,7,6,582,0.86,0.0359,41.6,3.54,11279993.22
318,20240801,8,5,407,0.82,0.0285,43.5,4.37,10641271.1
319,20240801,9,5,256,0.69,0.0147,5.2,3.87,12056071.74
320,20240801,10,4,414,0.77,0.0057,35.9,4.13,6189152.86
321,20240901,1,12,395,0.86,0.0304,15,4.55,9083889.61
322,20240901,2,10,358,0.89,0.0131,29.7,3.1,12056022.23
323,20240901,3,7,197,0.86,0.0296,21.2,3.26,8763346.2
324,20240901,4,10,462,0.71,0.0059,41.2,3.8,12598004.66
325,20240901,5,9,223,0.84,0.0151,36.3,3.57,13202311.19
326,20240901,6,7,504,0.87,0.0324,31.7,4.39,13327079.38
327,20240901,7,9,498,0.96,0.0314,36.6,3.31,1011088.92
328,20240901,8,6,209,0.82,0.0065,22,3.04,11930217.21
329,20240901,9,3,106,0.8,0.0363,43,3.32,9019872.94
330,20240901,10,7,210,0.81,0.0281,19.9,4.23,3359212.79
331,20241001,1,7,588,0.86,0.0351,10,4.49,7242494.92
332,20241001,2,9,239,0.9,0.0307,44,3.79,13623685.72
333,20241001,3,6,177,0.85,0.0161,27.7,4.09,10007578.43
334,20241001,4,2,235,0.74,0.0228,13.4,4.37,11130711.3
335,20241001,5,3,231,0.82,0.0238,19,4.38,2712259.28
336,20241001,6,12,437,0.84,0.007,14.5,4.06,5281645.52
337,20241001,7,4,143,0.94,0.0269,21.1,3.68,9841045.81
338,20241001,8,4,527,0.79,0.038,11.3,4.86,14913811.61
339,20241001,9,9,276,0.73,0.0103,21.6,3.44,14744838.13
340,20241001,10,9,503,0.82,0.0076,29.7,4.01,8785243.08
341,20241101,1,5,307,0.82,0.0278,6.9,4.64,4804213.33
342,20241101,2,1,155,0.88,0.0364,20.6,3.87,1166824.48
343,20241101,3,11,372,0.88,0.0266,38.8,4.05,8853193.38
344,20241101,4,7,253,0.74,0.0273,12.9,3.43,4762784.38
345,20241101,5,7,144,0.82,0.0058,42.8,3.35,974009.4
346,20241101,6,1,588,0.82,0.0147,25.8,3.52,4418460.77
347,20241101,7,2,373,0.89,0.0117,27.6,4.88,5730729.53
348,20241101,8,7,291,0.8,0.0384,5.5,4.26,14066625.8
349,20241101,9,12,510,0.76,0.0295,43.7,3.48,9986864.57
350,20241101,10,2,449,0.78,0.0223,20.4,4.24,14376425.21
351,20241201,1,1,285,0.82,0.0139,20.8,4.32,4883162.99
352,20241201,2,4,151,0.84,0.0349,32.4,3.92,2617237.66
353,20241201,3,12,595,0.81,0.0343,38.6,4.67,14457379.02
354,20241201,4,4,84,0.66,0.011,42.6,3.86,2200763.57
355,20241201,5,6,483,0.74,0.0122,29.8,3.78,13663762.29
356,20241201,6,1,237,0.81,0.0377,28.6,4.33,2940942.23
357,20241201,7,4,517,0.9,0.0108,41.1,4.07,2944809.83
358,20241201,8,11,388,0.78,0.0086,26.1,4.3,3743027.28
359,20241201,9,10,566,0.69,0.0239,43.4,4.67,5677620.72
360,20241201,10,3,124,0.73,0.0393,6.1,4.87,8598073.99
24,20220301,4,3,363,0.75,0.0092,18.9,4.78,6701538.43
42,20220501,2,10,555,0.95,0.0375,42,4.17,13717819.97
95,20221001,5,8,183,0.84,0.0126,33.4,3.53,10760058.54
104,20221101,4,9,103,0.76,0.0372,42.1,4.33,6460451.9
138,20230201,8,5,117,0.78,0.0311,32.7,3.29,4565549.51
181,20230701,1,8,86,0.76,0.0146,43,3.2,13545344.67
297,20240601,7,6,575,0.84,0.024,23.8,4.43,1614681.77
